bls_head.browLowerer_L,bls_head.browLowerer_R,bls_head.cheekPuff_L,bls_head.cheekPuff_R,bls_head.cheekRaiser_L,bls_head.cheekRaiser_R,bls_head.cheekSuck_L,bls_head.cheekSuck_R,bls_head.chinRaiser_B,bls_head.chinRaiser_T,bls_head.dimpler_L,bls_head.dimpler_R,bls_head.eyesClosed_L,bls_head.eyesClosed_R,bls_head.eyesLookDown_L,bls_head.eyesLookDown_R,bls_head.eyesLookLeft_L,bls_head.eyesLookLeft_R,bls_head.eyesLookRight_L,bls_head.eyesLookRight_R,bls_head.eyesLookUp_L,bls_head.eyesLookUp_R,bls_head.innerBrowRaiser_L,bls_head.innerBrowRaiser_R,bls_head.jawDrop,bls_head.jawSidewaysLeft,bls_head.jawSidewaysRight,bls_head.jawThrust,bls_head.lidTightener_L,bls_head.lidTightener_R,bls_head.lipCornerDepressor_L,bls_head.lipCornerDepressor_R,bls_head.lipCornerPuller_L,bls_head.lipCornerPuller_R,bls_head.lipFunneler_LB,bls_head.lipFunneler_LT,bls_head.lipFunneler_RB,bls_head.lipFunneler_RT,bls_head.lipPressor_L,bls_head.lipPressor_R,bls_head.lipPucker_L,bls_head.lipPucker_R,bls_head.lipsToward_LB,bls_head.lipsToward_LT,bls_head.lipsToward_RB,bls_head.lipsToward_RT,bls_head.lipStretcher_L,bls_head.lipStretcher_R,bls_head.lipSuck_LB,bls_head.lipSuck_LT,bls_head.lipSuck_RB,bls_head.lipSuck_RT,bls_head.lipTightener_L,bls_head.lipTightener_R,bls_head.lowerLipDepressor_L,bls_head.lowerLipDepressor_R,bls_head.mouthLeft,bls_head.mouthRight,bls_head.nasolabialFurrow_L,bls_head.nasolabialFurrow_R,bls_head.noseWrinkler_L,bls_head.noseWrinkler_R,bls_head.nostrilCompressor_L,bls_head.nostrilCompressor_R,bls_head.nostrilDilator_L,bls_head.nostrilDilator_R,bls_head.outerBrowRaiser_L,bls_head.outerBrowRaiser_R,bls_head.upperLidRaiser_L,bls_head.upperLidRaiser_R,bls_head.upperLipRaiser_L,bls_head.upperLipRaiser_R,bls_head.jawDrop75,bls_head.lipsToward75_LB,bls_head.lipsToward75_LT,bls_head.lipsToward75_RB,bls_head.lipsToward75_RT,bls_head.cheekPuff50_L,bls_head.cheekPuff50_R,bls_head.cheekRaiser50_L,bls_head.cheekRaiser50_R,bls_head.dimpler50_L,bls_head.dimpler50_R,bls_head.eyesClosed50_L,bls_head.eyesClosed50_R,bls_head.eyesLookDown50_L,bls_head.eyesLookDown50_R,bls_head.eyesLookLeft50_L,bls_head.eyesLookLeft50_R,bls_head.eyesLookRight50_L,bls_head.eyesLookRight50_R,bls_head.innerBrowRaiser50_L,bls_head.innerBrowRaiser50_R,bls_head.jawDrop50,bls_head.lipCornerDepressor50_L,bls_head.lipCornerDepressor50_R,bls_head.lipCornerPuller50_L,bls_head.lipCornerPuller50_R,bls_head.lipFunneler50_LB,bls_head.lipFunneler50_LT,bls_head.lipFunneler50_RB,bls_head.lipFunneler50_RT,bls_head.lipPucker50_L,bls_head.lipPucker50_R,bls_head.lipsToward50_LB,bls_head.lipsToward50_LT,bls_head.lipsToward50_RB,bls_head.lipsToward50_RT,bls_head.lipStretcher50_L,bls_head.lipStretcher50_R,bls_head.lipSuck50_LB,bls_head.lipSuck50_LT,bls_head.lipSuck50_RB,bls_head.lipSuck50_RT,bls_head.lowerLipDepressor50_L,bls_head.lowerLipDepressor50_R,bls_head.outerBrowRaiser50_L,bls_head.outerBrowRaiser50_R,bls_head.jawDrop25,bls_head.lipCornerPuller25_L,bls_head.lipCornerPuller25_R,bls_head.lipsToward25_LB,bls_head.lipsToward25_LT,bls_head.lipsToward25_RB,bls_head.lipsToward25_RT,bls_head.lipStretcher25_L,bls_head.lipStretcher25_R,bls_head.browLowerer_cheekRaiser_L,bls_head.browLowerer_cheekRaiser_R,bls_head.browLowerer_eyesClosed_L,bls_head.browLowerer_eyesClosed_R,bls_head.browLowerer_eyesLookDown_L,bls_head.browLowerer_eyesLookDown_R,bls_head.browLowerer_innerBrowRaiser_L,bls_head.browLowerer_innerBrowRaiser_R,bls_head.cheekPuff_jawDrop_L,bls_head.cheekPuff_jawDrop_R,bls_head.cheekRaiser_eyesClosed_L,bls_head.cheekRaiser_eyesClosed_R,bls_head.cheekRaiser_eyesLookDown_L,bls_head.cheekRaiser_eyesLookDown_R,bls_head.cheekRaiser_lidTightener_L,bls_head.cheekRaiser_lidTightener_R,bls_head.cheekRaiser_lipCornerPuller_L,bls_head.cheekRaiser_lipCornerPuller_R,bls_head.cheekRaiser_noseWrinkler_L,bls_head.cheekRaiser_noseWrinkler_R,bls_head.cheekRaiser_outerBrowRaiser_L,bls_head.cheekRaiser_outerBrowRaiser_R,bls_head.dimpler_jawDrop_L,bls_head.dimpler_jawDrop_R,bls_head.dimpler_lipCornerPuller_L,bls_head.dimpler_lipCornerPuller_R,bls_head.dimpler_lipStretcher_L,bls_head.dimpler_lipStretcher_R,bls_head.eyesClosed_eyesLookDown_L,bls_head.eyesClosed_eyesLookDown_R,bls_head.eyesClosed_eyesLookLeft_L,bls_head.eyesClosed_eyesLookLeft_R,bls_head.eyesClosed_eyesLookRight_L,bls_head.eyesClosed_eyesLookRight_R,bls_head.eyesClosed_eyesLookUp_L,bls_head.eyesClosed_eyesLookUp_R,bls_head.eyesClosed_innerBrowRaiser_L,bls_head.eyesClosed_innerBrowRaiser_R,bls_head.eyesClosed_lidTightener_L,bls_head.eyesClosed_lidTightener_R,bls_head.eyesClosed_outerBrowRaiser_L,bls_head.eyesClosed_outerBrowRaiser_R,bls_head.eyesLookDown_eyesLookLeft_L,bls_head.eyesLookDown_eyesLookLeft_R,bls_head.eyesLookDown_eyesLookRight_L,bls_head.eyesLookDown_eyesLookRight_R,bls_head.eyesLookDown_innerBrowRaiser_L,bls_head.eyesLookDown_innerBrowRaiser_R,bls_head.eyesLookDown_outerBrowRaiser_L,bls_head.eyesLookDown_outerBrowRaiser_R,bls_head.eyesLookDown_upperLidRaiser_L,bls_head.eyesLookDown_upperLidRaiser_R,bls_head.eyesLookLeft_eyesLookUp_L,bls_head.eyesLookLeft_eyesLookUp_R,bls_head.eyesLookRight_eyesLookUp_L,bls_head.eyesLookRight_eyesLookUp_R,bls_head.jawDrop_lipCornerDepressor_L,bls_head.jawDrop_lipCornerDepressor_R,bls_head.jawDrop_lipCornerPuller_L,bls_head.jawDrop_lipCornerPuller_R,bls_head.jawDrop_lipFunneler_LB,bls_head.jawDrop_lipFunneler_LT,bls_head.jawDrop_lipFunneler_RB,bls_head.jawDrop_lipFunneler_RT,bls_head.jawDrop_lipPucker_L,bls_head.jawDrop_lipPucker_R,bls_head.jawDrop_lipsToward_LB,bls_head.jawDrop_lipsToward_LT,bls_head.jawDrop_lipsToward_RB,bls_head.jawDrop_lipsToward_RT,bls_head.jawDrop_lipStretcher_L,bls_head.jawDrop_lipStretcher_R,bls_head.jawDrop_lipSuck_LB,bls_head.jawDrop_lipSuck_LT,bls_head.jawDrop_lipSuck_RB,bls_head.jawDrop_lipSuck_RT,bls_head.jawDrop_lowerLipDepressor_L,bls_head.jawDrop_lowerLipDepressor_R,bls_head.jawDrop_upperLipRaiser_L,bls_head.jawDrop_upperLipRaiser_R,bls_head.lidTightener_lipCornerPuller_L,bls_head.lidTightener_lipCornerPuller_R,bls_head.lidTightener_upperLidRaiser_L,bls_head.lidTightener_upperLidRaiser_R,bls_head.lipCornerDepressor_lipCornerPuller_L,bls_head.lipCornerDepressor_lipCornerPuller_R,bls_head.lipCornerDepressor_upperLipRaiser_L,bls_head.lipCornerDepressor_upperLipRaiser_R,bls_head.lipCornerPuller_lipStretcher_L,bls_head.lipCornerPuller_lipStretcher_R,bls_head.lipCornerPuller_lowerLipDepressor_L,bls_head.lipCornerPuller_lowerLipDepressor_R,bls_head.lipCornerPuller_nasolabialFurrow_L,bls_head.lipCornerPuller_nasolabialFurrow_R,bls_head.lipCornerPuller_noseWrinkler_L,bls_head.lipCornerPuller_noseWrinkler_R,bls_head.lipCornerPuller_upperLipRaiser_L,bls_head.lipCornerPuller_upperLipRaiser_R,bls_head.lipFunneler_lipPucker_LB,bls_head.lipFunneler_lipPucker_LT,bls_head.lipFunneler_lipPucker_RB,bls_head.lipFunneler_lipPucker_RT,bls_head.lipFunneler_lowerLipDepressor_LB,bls_head.lipFunneler_lowerLipDepressor_LT,bls_head.lipFunneler_lowerLipDepressor_RB,bls_head.lipFunneler_lowerLipDepressor_RT,bls_head.lipStretcher_lowerLipDepressor_L,bls_head.lipStretcher_lowerLipDepressor_R,bls_head.nasolabialFurrow_upperLipRaiser_L,bls_head.nasolabialFurrow_upperLipRaiser_R,bls_head.noseWrinkler_upperLipRaiser_L,bls_head.noseWrinkler_upperLipRaiser_R,bls_head.eyesClosed50_eyesLookDown_L,bls_head.eyesClosed50_eyesLookDown_R,bls_head.eyesClosed50_innerBrowRaiser_L,bls_head.eyesClosed50_innerBrowRaiser_R,bls_head.eyesClosed50_outerBrowRaiser_L,bls_head.eyesClosed50_outerBrowRaiser_R,bls_head.eyesClosed_eyesLookDown50_L,bls_head.eyesClosed_eyesLookDown50_R,bls_head.browLowerer_eyesClosed_eyesLookDown_L,bls_head.browLowerer_eyesClosed_eyesLookDown_R,bls_head.browLowerer_eyesClosed_lidTightener_L,bls_head.browLowerer_eyesClosed_lidTightener_R,bls_head.cheekRaiser_eyesClosed_eyesLookDown_L,bls_head.cheekRaiser_eyesClosed_eyesLookDown_R,bls_head.cheekRaiser_eyesClosed_lidTightener_L,bls_head.cheekRaiser_eyesClosed_lidTightener_R,bls_head.cheekRaiser_eyesClosed_lipCornerPuller_L,bls_head.cheekRaiser_eyesClosed_lipCornerPuller_R,bls_head.cheekRaiser_lidTightener_lipCornerPuller_L,bls_head.cheekRaiser_lidTightener_lipCornerPuller_R,bls_head.dimpler_jawDrop_lipCornerPuller_L,bls_head.dimpler_jawDrop_lipCornerPuller_R,bls_head.dimpler_lipCornerPuller_lipStretcher_L,bls_head.dimpler_lipCornerPuller_lipStretcher_R,bls_head.eyesClosed_eyesLookDown_eyesLookLeft_L,bls_head.eyesClosed_eyesLookDown_eyesLookLeft_R,bls_head.eyesClosed_eyesLookDown_eyesLookRight_L,bls_head.eyesClosed_eyesLookDown_eyesLookRight_R,bls_head.eyesClosed_eyesLookDown_innerBrowRaiser_L,bls_head.eyesClosed_eyesLookDown_innerBrowRaiser_R,bls_head.eyesClosed_eyesLookDown_outerBrowRaiser_L,bls_head.eyesClosed_eyesLookDown_outerBrowRaiser_R,bls_head.jawDrop_lipCornerPuller_lipStretcher_L,bls_head.jawDrop_lipCornerPuller_lipStretcher_R,bls_head.jawDrop_lipCornerPuller_lowerLipDepressor_L,bls_head.jawDrop_lipCornerPuller_lowerLipDepressor_R,bls_head.jawDrop_lipCornerPuller_upperLipRaiser_L,bls_head.jawDrop_lipCornerPuller_upperLipRaiser_R,bls_head.jawDrop_lipFunneler_lipPucker_LB,bls_head.jawDrop_lipFunneler_lipPucker_LT,bls_head.jawDrop_lipFunneler_lipPucker_RB,bls_head.jawDrop_lipFunneler_lipPucker_RT,bls_head.jawDrop_lipFunneler_lipsToward_LB,bls_head.jawDrop_lipFunneler_lipsToward_LT,bls_head.jawDrop_lipFunneler_lipsToward_RB,bls_head.jawDrop_lipFunneler_lipsToward_RT,bls_head.jawDrop_lipPucker_lipsToward_LB,bls_head.jawDrop_lipPucker_lipsToward_LT,bls_head.jawDrop_lipPucker_lipsToward_RB,bls_head.jawDrop_lipPucker_lipsToward_RT,bls_head.lipCornerPuller_lipStretcher_lowerLipDepressor_L,bls_head.lipCornerPuller_lipStretcher_lowerLipDepressor_R,bls_head.lipCornerPuller_nasolabialFurrow_upperLipRaiser_L,bls_head.lipCornerPuller_nasolabialFurrow_upperLipRaiser_R,bls_head.lipCornerPuller_noseWrinkler_upperLipRaiser_L,bls_head.lipCornerPuller_noseWrinkler_upperLipRaiser_R,bls_head.jawDrop_lipPucker_lipsToward75_LB,bls_head.jawDrop_lipPucker_lipsToward75_LT,bls_head.jawDrop_lipPucker_lipsToward75_RB,bls_head.jawDrop_lipPucker_lipsToward75_RT,bls_head.eyesClosed50_eyesLookDown_innerBrowRaiser_L,bls_head.eyesClosed50_eyesLookDown_innerBrowRaiser_R,bls_head.eyesClosed50_eyesLookDown_outerBrowRaiser_L,bls_head.eyesClosed50_eyesLookDown_outerBrowRaiser_R,bls_head.jawDrop_lipPucker_lipsToward50_LB,bls_head.jawDrop_lipPucker_lipsToward50_LT,bls_head.jawDrop_lipPucker_lipsToward50_RB,bls_head.jawDrop_lipPucker_lipsToward50_RT,bls_head.jawDrop_lipPucker_lipsToward25_LB,bls_head.jawDrop_lipPucker_lipsToward25_LT,bls_head.jawDrop_lipPucker_lipsToward25_RB,bls_head.jawDrop_lipPucker_lipsToward25_RT,bls_head.browLowerer_cheekRaiser_eyesClosed_lidTightener_L,bls_head.browLowerer_cheekRaiser_eyesClosed_lidTightener_R,bls_head.jawDrop_lipFunneler_lipPucker_lipsToward_LB,bls_head.jawDrop_lipFunneler_lipPucker_lipsToward_LT,bls_head.jawDrop_lipFunneler_lipPucker_lipsToward_RB,bls_head.jawDrop_lipFunneler_lipPucker_lipsToward_RT,bls_head.neck_reduction,
Null,Null,Null,0,0,0,0,0,0,0,0,0,1.93,4.288,1.93,3.108,0,4.422,4.23,0,0,0,0,0.017,0,0,0,0,0.047,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.859,8.575,3.859,6.217,0,8.844,8.461,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.153,0,0,0,0,0,0,0,0,0,0,0,0.203,0.349,0.203,0.253,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.133,0,0.19,0.082,0,0,0,0,0.001,0.001,0.021,0,0.068,0,0.137,0.082,0,0,0.001,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.267,0,0.001,0,0.135,0.074,0.267,0.004,0.011,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,2.333,5.357,2.333,3.844,0,4.379,4.274,0,0,0,0,0.014,0,0,0,0,1.492,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.665,10.715,4.665,7.689,0,8.758,8.548,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.434,0,0,0,0,0,0,0,0,0,0,0,0.206,0.34,0.206,0.244,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.206,0,0.235,0.1,0,0,0,0,0.001,0.035,0.016,0,0.065,0,0.168,0.1,0,0,0.001,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0.412,0,0.002,0,0.13,0.109,0.412,0.005,0.013,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.002,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,0.808,2.184,0.808,1.496,0,4.573,4.081,0,0,0,0,0.012,0,0,0,0,0.725,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616,4.368,1.616,2.992,0,9.146,8.162,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.851,0,0,0,0,0,0,0,0,0,0,0,0.055,0.089,0.055,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.033,0,0.1,0.033,0,0,0,0,0,0.006,0.011,0,0.031,0,0.068,0.033,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.065,0,0.001,0,0.062,0.013,0.065,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,28.314,0.631,14.352,0.631,0,4.338,4.316,0,0,0,0,0.01,0,0,0,0,1.721,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.628,1.262,28.704,1.262,0,8.676,8.632,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.211,0,0,0,0,0,0,0,0,0,0,0,2.425,0.038,1.229,0.038,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.064,0.004,0,0.027,1.222,0,0,0,0,0,0.487,0.011,0,0.007,0,0.027,0.619,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.127,0.008,0,0,0,0.014,8.127,0.008,0.348,0,0.042,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,3.339,6.752,3.338,5.043,0,4.792,3.862,0,0,0,0,0.008,0,0,0,0,0.802,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.677,13.504,6.676,10.086,0,9.584,7.724,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.734,0,0,0,0,0,0,0,0,0,0,0,0.177,0.333,0.177,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.341,0,0.324,0.129,0,0,0,0,0.001,0.027,0.095,0,0.059,0,0.242,0.129,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0.681,0,0.001,0,0.117,0.223,0.681,0.006,0.017,0.001,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.004,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,0.865,8.021,0.865,4.442,0,3.529,5.123,0,0,0,0,0.021,0,0,0,0,0.397,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,16.042,1.73,8.884,0,7.058,10.246,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.323,0,0,0,0,0,0,0,0,0,0,0,0.039,0.39,0.039,0.216,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.356,0,0.283,0.044,0,0,0,0,0.002,0.003,0.16,0,0.093,0,0.157,0.044,0,0,0.001,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.713,0,0.003,0,0.186,0.015,0.713,0,0.017,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,0.332,11.138,0.332,5.732,0,2.916,5.736,0,0,0,0,0.018,0,0,0,0,0.207,1.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,22.276,0.664,11.464,0,5.832,11.473,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.821,0,0,0,0,0,0,0,0,0,0,0,0.015,0.626,0.015,0.322,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.638,0,0.325,0.019,0,0,0,0,0.002,0.001,0.168,0,0.101,0,0.167,0.019,0,0,0.001,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1.277,0,0.004,0,0.203,0.002,1.277,0,0.036,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,0.107,3.124,0.107,1.616,0,2.718,5.934,0,0,0,0,0.014,0,0,0,0,0.113,1.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,6.248,0.214,3.231,0,5.435,11.868,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.441,0,0,0,0,0,0,0,0,0,0,0,0.003,0.192,0.003,0.099,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.085,0.006,0,0,0,0,0,0,0.038,0,0.023,0,0.044,0.006,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0.001,0,0.045,0,0.101,0,0.003,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,0.038,0.977,0.038,0.508,0,3.384,5.268,0,0,0,0,0.012,0,0,0,0,1.542,1.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,1.955,0.076,1.015,0,6.768,10.536,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0.001,0.039,0.001,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.033,0.002,0,0,0,0,0,0.001,0.01,0,0.01,0,0.017,0.002,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.021,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Null,Null,Null,0,0,0,0,0,0,0,0,0,2.856,0.176,1.516,0.176,0,3.751,4.901,0,0,0,0,0.01,0,0,0,0,1.276,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.713,0.353,3.033,0.353,0,7.503,9.801,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.664,0,0,0,0,0,0,0,0,0,0,0,0.079,0.006,0.042,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0.007,0.14,0,0,0,0,0,0.036,0.002,0,0.001,0,0.007,0.074,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.001,0,0,0,0.003,0.087,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
